Code,Name,Market,Marcap_억원,Stocks
006040,동원산업,KOSPI,15471,44140819
096530,씨젠,KOSDAQ,15459,52225994
101490,에스앤에스텍,KOSDAQ,15404,21334879
003570,SNT다이내믹스,KOSPI,15396,33252697
183300,코미코,KOSDAQ GLOBAL,15325,10460684
001800,오리온홀딩스,KOSPI,15223,62645422
005070,코스모신소재,KOSPI,15212,33214571
491000,리브스메드,KOSDAQ,15178,25004391
003540,대신증권,KOSPI,15135,49219763
069620,대웅제약,KOSPI,15109,11586575
006280,녹십자,KOSPI,14889,11686538
032350,롯데관광개발,KOSPI,14830,79601474
099320,쎄트렉아이,KOSDAQ,14806,10951278
031330,에스에이엠티,KOSDAQ,14719,99995067
039200,오스코텍,KOSDAQ,14634,38258176
420770,기가비스,KOSDAQ,14476,12675758
020560,아시아나항공,KOSPI,14378,205990711
445680,큐리옥스바이오시스템즈,KOSDAQ,14261,17203255
475830,오름테라퓨틱,KOSDAQ,14027,21513325
475150,SK이터닉스,KOSPI,13985,34067004
189300,인텔리안테크,KOSDAQ,13755,10737497
007310,오뚜기,KOSPI,13687,4007830
232140,와이씨,KOSDAQ,13661,82045350
166090,하나머티리얼즈,KOSDAQ GLOBAL,13548,19777674
294870,IPARK현대산업개발,KOSPI,13445,65907330
073240,금호타이어,KOSPI,13429,287260287
030610,교보증권,KOSPI,13391,113962961
003530,한화투자증권,KOSPI,13366,214547775
417200,LS머트리얼즈,KOSDAQ,13246,67652659
004000,롯데정밀화학,KOSPI,13210,25800000
038500,삼표시멘트,KOSDAQ,13101,107916306
003380,하림지주,KOSDAQ GLOBAL,13093,112005621
012630,HDC,KOSPI,13083,59741721
195870,해성디에스,KOSPI,13022,17000000
034230,파라다이스,KOSPI,13014,92629382
458870,씨어스,KOSDAQ,12997,38059740
006110,삼아알미늄,KOSPI,12870,15123455
281820,케이씨텍,KOSPI,12869,19798661
089970,브이엠,KOSDAQ,12832,24771995
192080,더블유게임즈,KOSPI,12725,21173468
090710,휴림로봇,KOSDAQ,12686,119457197
032500,케이엠더블유,KOSDAQ,12562,42154875
036540,SFA반도체,KOSDAQ,12450,164460303
085660,차바이오텍,KOSDAQ,12449,92969748
127120,제이에스링크,KOSDAQ,12394,34621046
051915,LG화학우,KOSPI,12248,7688800
181710,NHN,KOSPI,12217,32753139
065350,신성델타테크,KOSDAQ,12189,27483948
195940,HK이노엔,KOSDAQ GLOBAL,12182,28329891
397030,에이프릴바이오,KOSDAQ,12082,23413826
415640,KB발해인프라,KOSPI,11985,122545548
082640,동양생명,KOSPI,11924,161358585
093370,후성,KOSPI,11862,107255330
000080,하이트진로,KOSPI,11761,70133611
066575,LG전자우,KOSPI,11580,17181299
007390,네이처셀,KOSDAQ,11547,64435056
281740,레이크머티리얼즈,KOSDAQ,11529,65730548
204270,제이앤티씨,KOSDAQ,11518,57848466
003090,대웅,KOSPI,11466,58141980
295310,에이치브이엠,KOSDAQ,11342,12027291
089860,롯데렌탈,KOSPI,11274,36309388
000815,삼성화재우,KOSPI,11171,3007020
490470,세미파이브,KOSDAQ,11135,33999890
003470,유안타증권,KOSPI,11098,199596576
000210,DL,KOSPI,11044,20955884
300720,한일시멘트,KOSPI,11032,73545209
100090,SK오션플랜트,KOSPI,11015,62478129
330590,롯데리츠,KOSPI,10952,288968884
003240,태광산업,KOSPI,10833,1113400
185750,종근당,KOSPI,10794,13802780
280360,롯데웰푸드,KOSPI,10769,9204574
090460,비에이치,KOSPI,10636,33711538
006340,대원전선,KOSPI,10531,78414416
477850,마키나락스,KOSDAQ,10525,17541640
005300,롯데칠성,KOSPI,10467,9278884
213420,덕산네오룩스,KOSDAQ GLOBAL,10417,24831179
496320,본시스템즈,KONEX,10393,1015973
388210,씨엠티엑스,KOSDAQ,10367,9634438
036830,솔브레인홀딩스,KOSDAQ GLOBAL,10355,20503981
160190,하이젠알앤엠,KOSDAQ,10317,30888000
009155,삼성전기우,KOSPI,10160,2906984
161580,필옵틱스,KOSDAQ,10150,23442247
365550,ESR켄달스퀘어리츠,KOSPI,10090,246089000
052020,에스티큐브,KOSDAQ,10028,67983291
056190,에스에프에이,KOSDAQ GLOBAL,10019,35908760
048410,현대바이오,KOSDAQ,9979,96505572
388720,유일로보틱스,KOSDAQ,9943,11781345
137400,피엔티,KOSDAQ GLOBAL,9938,23690728
009450,경동나비엔,KOSPI,9921,14568592
033790,피노,KOSDAQ,9913,82331788
456040,OCI,KOSPI,9866,8952495
083450,GST,KOSDAQ,9860,18430000
124500,아이티센글로벌,KOSDAQ,9816,23204527
126340,비나텍,KOSDAQ,9758,7143528
057050,현대홈쇼핑,KOSPI,9756,12000000
137310,에스디바이오센서,KOSPI,9744,120749102
466100,클로봇,KOSDAQ,9725,25459239
033100,제룡전기,KOSDAQ,9702,16062409
000670,영풍,KOSPI,9610,18410683
376900,로킷헬스케어,KOSDAQ,9556,15873789
115180,큐리언트,KOSDAQ,9513,37304987
456160,지투지바이오,KOSDAQ,9497,16545359
222080,씨아이에스,KOSDAQ GLOBAL,9443,77780144
071055,한국금융지주우,KOSPI,9408,5858251
033240,자화전자,KOSPI,9355,21605502
192400,쿠쿠홀딩스,KOSPI,9282,35562185
086450,동국제약,KOSDAQ GLOBAL,9250,45230420
499790,GS피앤엘,KOSPI,9231,19830841
298050,HS효성첨단소재,KOSPI,9206,4479948
074600,원익QnC,KOSDAQ GLOBAL,9201,26288000
023160,태광,KOSDAQ,9144,25867242
035760,CJ ENM,KOSDAQ GLOBAL,9079,21929154
451800,한화리츠,KOSPI,9016,179600000
293490,카카오게임즈,KOSDAQ GLOBAL,9015,89786911
050890,쏠리드,KOSDAQ,8986,60756534
356860,티엘비,KOSDAQ,8967,9832630
248070,솔루엠,KOSPI,8961,47816236
005690,파미셀,KOSPI,8946,60016964
052400,코나아이,KOSDAQ,8913,14563291
094170,동운아나텍,KOSDAQ,8845,20909936
006120,SK디스커버리,KOSPI,8724,17413751
122870,와이지엔터테인먼트,KOSDAQ,8710,18691049
014620,성광벤드,KOSDAQ,8698,26557364
00088K,한화3우B,KOSPI,8625,19404441
030190,NICE평가정보,KOSPI,8619,58911527
476060,온코닉테라퓨틱스,KOSDAQ,8559,45407840
075580,세진중공업,KOSPI,8527,56849456
000370,한화손해보험,KOSPI,8499,116738915
001510,SK증권,KOSPI,8419,231295085
100840,SNT에너지,KOSPI,8376,20680783
071320,지역난방공사,KOSPI,8348,11578744
108320,LX세미콘,KOSPI,8327,16264300
253450,스튜디오드래곤,KOSDAQ GLOBAL,8326,30058498
010780,아이에스동서,KOSPI,8301,30186976
006650,대한유화,KOSPI,8242,6500000
046890,서울반도체,KOSDAQ GLOBAL,8209,58305400
036530,SNT홀딩스,KOSPI,8201,16303886
214320,이노션,KOSPI,8200,40000000
002020,코오롱,KOSPI,8158,12907680
056080,유진로봇,KOSDAQ,8065,37512152
053610,프로텍,KOSDAQ,8037,9000000
003160,디아이,KOSPI,8009,28300000
025540,한국단자,KOSPI,7940,10115000
003850,보령,KOSPI,7918,85787207
327260,RF머트리얼즈,KOSDAQ,7900,8495135
064960,SNT모티브,KOSPI,7896,26540272
037460,삼지전자,KOSDAQ,7833,16318522
005880,대한해운,KOSPI,7794,322747340
079160,CJ CGV,KOSPI,7791,165582385
004490,세방전지,KOSPI,7775,13860000
001820,삼화콘덴서,KOSPI,7775,10395000
121600,나노신소재,KOSDAQ,7732,12253691
241710,코스메카코리아,KOSDAQ,7700,10680000
079900,전진건설로봇,KOSPI,7661,14592545
032190,다우데이타,KOSDAQ,7656,38300000
285130,SK케미칼,KOSPI,7499,17298766
